,text,label
12,calon presiden capres nomor urut anies baswedan sudah siap dengan mampu hadap debat tiga debat tiga akan sangkut tema soal tahan aman hubung internasional dan geopolitik download metrotvxtend di app store play store aniesbaswedan pemilu2024 debatcapres,Pertahanan dan Keamanan
13,capres ganjar pranowo punya rencana besar dia bakal sinergi sama guru tinggi buat program yang bawa ubah positif ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik
14,dengan dapat apbd jumbo paling besar se indonesia capai rp,Ekonomi
15,nyata yg timbul hancur pribadi yg isi penuh benci ke ayahbowo adalahkita timbul dampak emosional di pilih munculfenomenapakbowo dukungantulus untuk,Politik
16,mas ganjar bawa data dan ngasih tanya dasar data bisa saja jawab oleh pak prabowo tanpa bilang data dari mas ganjar salah tapi karena pak prabowo bilang data salah wajar jika mas ganjar minta tunjuk mana data yang benar gak ada urus sama waktu yang singkat,Politik
17,trending on twitter anies bubble roket fenomena fans pop join amin isme,Sosial Budaya
18,wait wait pak ada bukti pak anies guna politik identitas bukankah justru ahok yang terang terang bahkan belum pilkada saja sudah pantik selisih misal guna password wifi dengan kata kafir pikir adil itu memang sulit pak,Politik
19,siti atikoh kunjung kantor tpd ganjar mahfud sumatera selatan atikoh dapat kejut dari sandang tuna rungu simpatisan ganjar mahfud di hari tuna rungu nasional atikoh beri kejut rupa kaos warna merah tulis ibu negara indonesia di bagi depan tak hanya beri kejut atikoh juga ajar bahasa isyarat pdiperjuangan hutpdiperjuanganke51 kebenaranpastimenang satyamevajayate ganjarmahfud2024 menangkanganjar nomor3pilihanku,Politik
20,abah anies ingin angkat martabat tani agar tidak terus terus terima bansos karena hasil cukup aminajadulu,Sosial Budaya
21,calon presiden ri ganjar pranowo yakin sama mahfud md regulasi hukum investasi bakal lebih mudah paham oleh semua pihak ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik
22,pak michael gaya bicara keras dan kesan emosional tapi tetap isi tidak usah jangan arti prabowo itu sudah guna keras militer untuk orang yang sifat anies pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,Politik
23,paslon ganjar pranowo yakin sama mahfud md regulasi hukum investor di indonesia bakal lebih sahabat dan ukur ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik
24,anies sosok ayah yang penuh hangat pak mmg sosok ayah yg penuh hangat lihat dlm tayang video ini tangan lentur banget gendong anak kecil tampak luwes ngga kaku dan ngga buat buat pasti anak anak jg sering rasa gendong peluk dan peluk beliau kuat sejati adalah tenang di peluk ayah aniesbubble aniesmuhaimin2024,Pertahanan dan Keamanan
25,capres ganjar pranowo nggak main main nih kolaborasi dengan guru tinggi buat program edukatif yang oke punya ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik
26,projo kawal prabowo gibran menang sekali putar projo jokowi setiadigarisrakyat,Politik
27,tempodotco semangat pak kami akan selalu mnddukung mu ganjar mahfud hebat coblos3 3gm ganjarmahfudm3nangdebat debatcapres,Politik
28,anies sesuai selera masyarakat sumatera barat,Sosial Budaya
29,abah anies baswedan ibu fery farhati tiba di pekanbaru kampanye akbar dua hari ini,Politik
30,atikoh beber solusi ganjar mahfud atas harga pangan naik,Politik
31,gilir buruh soloraya deklarasi dukung prabowo gibran soloraya indonesiakuatindonesiamaju diplomasiprogresif02 02melanjutkan,Politik
32,capres cawapres ganjar pranowo dan mahfud md ajak semua pihak untuk satu jaga konstitusi atau atur dasar negara jnk ganjarmahfudrebound ganjarpranowopilihanumat,Ideologi
33,raja dangdut pak haji rhoma irama tanya tentang seni dan film jika pak anies pilih jadi presiden desak anies slepet imin di ji expo mayor jakarta pusat hari ini senin januari,Politik
34,capres ganjar pranowo akan beri ruang bagi masyarakat untuk beri masuk dan saran dalam evaluasi pasal karet uu ite jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik
35,ini musuh utama gen anies tekad basmi praktik ordal dalam terima tenaga kerja di sektor swasta perintah dg tegak atur aminajadulu,Politik
36,debat capres cawapres ke anies nyata nilai kemenhan dalam laksana bijak nilai dari jadi menteri saja tidak layak turut paslon,Politik
37,pasang duet capres cawapres ganjar pranowo mahfud md motor ubah kredit untuk koprasi dan umkm jadi andal bisnis lokal sukses terus teman teman jna jnk ganjarmahfudrebound ganjarpranowopilihanumat,Ekonomi
38,anak muda indonesia the future of this nation is in your hand it the time for change anies for president sampai yg harus sampai kepada teman lain karena sudah saat adu ide gagas tunjuk karya karya pak anies untuk ubah indonesia lebih baik lagi,Ideologi
39,pak aniess post has reached likes and on dialog capres kadin tvonenews youtube in days hour minutes it is the fastest and highest post to reach likes and likes among capress members anies aniesatkadin,Sosial Budaya
40,according to prabowo gaza is opressed because they don have sufficient military power this is such tone deaf statement coming from mister of defense,Pertahanan dan Keamanan
41,ini kejam warga situ sudah sedia bangun jis dgn janji anies utk memabngun rumah susun bagi mereka stlh rumah itu bangun mrk ga beri hak padahal anies selaku gubernur sll tepat janji kampung akuarium kampung kunir dll apa yg salah rakyat dapat rmh,Sosial Budaya
42,prabowo gibran akan terap program ini untuk lancar ekonomi biru internasional kontan menangseputaran,Ekonomi
43,viral anies baswedan dapat ancam tembak tim hukum amin siap tempuh jalur hukum,Pertahanan dan Keamanan
44,kasihan dukung prabowo udah bela bain masuk penjara gak aku,Politik
45,tempodotco ayo ganjar tuntas masalah yang ada di indonesia pasti bisa pasti mnang semuakerja ganjar mahfud hebat coblos3 3gm dulujokowisekarangganjar ayahbowo adalahkita,Politik
46,wiranto langsung gerak cepat untuk beri dukung kepada prabowo gibran wirantogaspoldukung02,Politik
47,gua beneran sedih banget kenapa ya orang tuh susah terima fakta kalo prabowo itu war criminal dan zionist kek theres so many possibilities kalo beliau pilih bakal regress demokrasi kita bakal lebih otoriter bahkan banyak menteri progresif yg pasti akan depak,Politik
48,laut manusia sambut capres nomor urut anies baswedan saat laksana giat kampanye ke bone sulawesi selatan sulsel rabu anies temu dengan masyarakat bone di lapang sepak bola cina kampanye kali ini cukup spesial lantar teman oleh eks wakil presiden jusuf kalla jk lihat laut manusia yang antusias sapa anies ini pun buat dia rasa takjub dan tegas bahwa uang tidak dapat kobar semangat seperti ini simak berita lengkap di hardnewspolitik newsone cariberitaditvone no01 aniesbaswedan kampanye viralbone pilpres2024 politik kamikabarkanandaputuskan maumemilih tvonetvpemilu,Politik
49,baru kali ini ada capres yg mau peluk orang papua cium tangan anak anak papua biar rakyat yang nilai gak ngaruh tetap all in prabowo istirahat anies deserve better abahanies cakimin,Politik
50,yang sudah yakin vote anies muhaimin pada februari silah retweet nakesdesakanies,Politik
51,data yang manaaaaa data lahan pak prabowo itu bagi dari rahasia tahan index dan peringkat yang baca pak ganjar juga itu rahasia tahan astagaaaa,Pertahanan dan Keamanan
52,video ini rekam april dlm acara adil anies apakah jd presiden adalah cita cita anies value pikir yg bawa dlm gagas pak anies memang pikir orang negarawan dari dulu jarang kita dengar pikir macam beliau negeri ini guys aminajadulu,Politik
53,pak ganjar dan prof mahfud oleh dukung luas karena berani mereka dalam hadap dinamika gopolitik yang tidak duga ganjarmahfud2024 dulujokowisekarangganjar coblos3,Politik
54,jk ungkap sebab tanah bob hasan bisa milik prabowo,Politik
55,sekarang bawaslu malah kesan yg benar giat paslon kunjung prabowo ke cilincing yg warna bagi uang rb anggap kunjung bagai menhan oleh bawaslu serah klean lah,Politik
56,pak prabowo adalah tipe orang yang lebih suka tunjuk bukti kerja daripada dar omong kosong belaka kinerjabukanomonomon,Politik
57,abah anies ingin angkat martabat tani agar tidak terus terus terima bansos karena hasil cukup aminajadulu,Sosial Budaya
58,jawab pak anies di luar prediksi ulama dari madura jawa timur sampai kagum kagum dengan pak anies bahkan ulama madura yg nama bapak kyai fattah aku kalah telah simak jawab dari pak anies di acara cifp yg lalu,Politik
59,nelayan butuh tindak nyata ganjar pranowo mahfud md sama kita hadir solusi baik nelayansolusinyata jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik
60,waktu anies sikap kritis ke kerja pak prabowo anggap engga sopan karena anggap kurang hormat orang tua gilir skrg gibran yg tengil dan sok kritis malah anggap kritis dan keras apakah ini tidak standar ganda,Politik
61,ganjar pranowo dengan tindak positif tunjuk berani dalam jaga aman nasional dengan dukung cyber force ganjarmahfudm3nangdebat ganjarmahfud2024 coblos3,Pertahanan dan Keamanan
62,batam hari ini pecah suasana pasar tos batam saat pak anies baswedan kunjung para warga sekitar sambut dan teriak anies presiden,Politik
63,bukan cuma dalam debat malam pak tidak mau buka imformasi tahan tp di rdp dgn komisi dpr pun beliau tolak rapat buka dan tahan spy rapat tutup apalagi ngadepin capres sok tau ga mungkin buka,Pertahanan dan Keamanan
64,anies itu prestasi di jakarta banyak sekali dan gemilang walaupun tidak dukung perintah pusat dan cenderung hambat tapi kenapa ada framing jahat anies nggak bisa kerja,Politik
65,konsisten lama ini suara lawan radikalisme dan intoleransi yg pilih prabowo nyata cuma omon omon anggap tokoh paling toleran masyarakat lintas etnis kalbar kompak dukung ganjar pontianak ribu masyarakat lintas etnis se kalimantan barat kumpul di hotel golden tulip pontianak rabu ada wakil dari tokoh dayak tionghoa papua jawa mang batak madura dan lain selamat datang di kota khatulistiwa pak ganjar kami sangat bangga bapak datang ke sini ucap beberapa tokoh adat dan etnis sambut ganjar ketua dewan bina dewan adat daerah dad kalbar yang juga ketua tim menang daerah tpd ganjar mahfud di kalbar lazarus kata masyarakat kalbar sangat antusias sambut ganjar hadir para tokoh dan ketua organisasi etnis di tempat itu jadi bukti bahwa mereka sepakat dukung ganjar mahfud semua tokoh adat kumpul di sini ini wakil seluruh organisasi dari kelompok etnis dan adat di kalimantan barat kami semua dukung pak ganjar kami siap menang bapak di kalbar ucap lazarus sambut teriak kompak ribu masyarakat adat kalbar ganjar presiden ganjar mahfud menang menang menang teriak mereka kompak orang tokoh adat dayak henusa kata masyarakat lintas etnis kalbar kompak dukung ganjar karena ia anggap bagai tokoh paling toleran lama jadi anggota dpr ri dan gubernur jateng dua periode ganjar bisa laku harmonisasi untuk itu kami idola dan dukung pak ganjar jadi presiden karena di tangan beliau kasus kasus intoleransi di indonesia bisa hilang ucap sementara itu ganjar sambut baik dukung dari masyarakat lintas etnis kalbar dan ucap terima kasih turut apa hasil pilpres datang toleransi di indonesia harus terus jaga dan kalbar adalah contoh daerah paling toleran di mana di kalbar ada satu kota yang nobat bagai kota paling toleran se indonesia yakni singkawang ucap,Demografi
66,koneksi internet jadi butuh pokok bagi masyarakat indonesia dalam jalan aktivitas hari hari paslon ganjar mahfud tegas komitmen untuk hadir internet yang kuat cepat dan murah bagi seluruh masyarakat indonesia ganjarmahfud2024 sahabatganjar,Ekonomi
67,jaua suparna baru tahu bahwa anies nya fakultas ekonomi nya bijak uang nya political ekonomi bangun,Ekonomi
68,isu palestina tidak penting bagi prabowo tidak ada pihak peduli untuk tegak konstitusi makin lihat watak asli,Politik
69,acara belum mulai dukung anies sudah ramai lokasi kampanye,Politik
70,namun yang penting adalah saat ini harus jadi bangsa yang selalu syukur menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,Politik
71,kita butuh jaga yakni tni al yang kuat untuk kibar merah putih dan tegak daulat negara kata menhan prabowo,Pertahanan dan Keamanan
72,kerja pak prabowo bukan hanya fokus pada modernisasi alutsista tapi beliau juga nilai telah dorong kembang industri tahan dalam negeri loh industripertahananbelaprabowo,Pertahanan dan Keamanan
73,gak mau yang cuma batas wacana mending yang udah punya langkah nyata kayak pasang ganjar pranowo dan mahfud md 2024jokowidigantiganjar jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik
75,duo bapak bangsa ganjar pranowo prof mahfud punya program yang bisa bikin indonesia lebih baik yuk pilih yang bawa solusi nyata ganjarmahfud taat hukum jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik
76,menkominfo budi arie bela prabowo sebut data tahan sifat rahasia,Pertahanan dan Keamanan
77,anies jelas referensi jkw dua kata dari capres yang ajar kepada seluruh rakyat indonesia yaitu kata goblok dan tolol dan janji kembali tanah itu dari sekarang pun bilang hal yang sama,Politik
78,calon presiden ri no urut ganjar pranowo gak main main dalam jaga konstitusi atau atur dasar negara itu kenapa kita bisa percaya pada jnk ganjarmahfudrebound ganjarpranowopilihanumat,Ideologi
79,selain itu gibran kata jumlah masalah lain seperti pupuk internet jalan lubang menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,Politik
80,hadir tantang kpk untuk sampai komitmen dalam berantas korupsi di indonesia majalengka majalengka beiqnhxqr ganjar mahfud hebat 3gm coblos687,Politik
81,capres ganjar pranowo yakin konstitusi atau atur dasar negara adalah dasar adil yang harus pegang teguh jnk ganjarmahfudrebound ganjarpranowopilihanumat,Ideologi
82,jadi anies baswedan itu proxy us dukung yaman fpi abu bakar baasyir freemason mau bangun khilafah yang disupport kader nu dan muhamadiyah enggak lupa dukung komunitas cinta perkutut yang kolaborasi dengan sjw feminism mas mas rohis celana cingkrang kpoper,Ideologi
83,pilih capres ganjar pranowo keren jangan pilih pimpin yang sulit kendali emosi karena hal itu dapat cipta ketidakpastian di kalang masyarakat jna jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik
84,anies prestasi nasional maupun internasional lihat video prestasi prabowo korupsi food estate anggar kemenhan prabowo singgung banyak orang pandai bicara tapi belum tentu bisa kerja sindir anies lagi umatislampilihamin umatislampilihamin,Politik
85,capres nomor urut anies baswedan jelas kena geser tuju substitusi import ia kata bahwa harus pasti hal sebut dapat jaga anies baswedan juga kata harus siap ekosistem industri agar tidak hanya jadi pasar konsumsi tapi juga jadi sentra produksi global sehingga harap dalam muncul di dalam giat ekspor perihal tingkat komponen dalam negeri anies kata bahwa harus tingkat cara tahap simak video lengkap di nanti juga live eksklusif dialog capres sama kadin sesi iii prabowo subianto jumat januari pkl wib live hanya di tvone live streaming di youtube tvonenews hardnewspolitik newsone cariberitaditvone aniesbaswedan politik tvonetvpemilu kamikabarkanandaputuskan maumemilih capres cawapres pemilu2024 pilpres2024,Ekonomi
86,momen capres nomor urut ganjar pranowo besuk rawan korban aniaya oleh oknum tni di boyolali tak hanya tanya kondisi juga tanya kronologi jadi hingga rawan dukung itu pukul ia pun minta aparat aman masuk institusi tni tangan jadi ini ganjarmahfud2024 l3bihbaik,Pertahanan dan Keamanan
87,palestina di tindas karena gk punya kuat militer palestina lemah sy ksh buku ini mau biar anda paham vatikan gk punya kuat militer tp ada yg berani tindas gk analogi bukan kuat militer pak palestina gk lemah dan gk pernah lemah mereka lemah oleh sistem kampret yang di mana pbb sampai skrg diam jadi genosida langgar ham berat yang berani nuntut mereka di den haag hanya afrika selatan,Pertahanan dan Keamanan
88,rstmbcl sama santri kami riang gembira ganjar mahfud md ganjarmahfud jauh dusta emosional ganjar mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 sikat kkn,Politik
89,media asing the new york times tulis jika prabowo menang demokrasi indonesia mati,Politik
90,sama dalam beda jnk solid dukung ganjar pranowo dan mahfud md bagai pilih baik di pilpres ganjarmahfudrebound ganjarpranowopilihanumat 2024jokowidigantiganjar,Politik
91,jadi inget video ini udah ada yg pernah liat blm perhati tangan pak anies mungkin buat bagi orang mah biasa aja ya tapi hal kecil begini yg bikin,Politik
92,anies baswedan dan mas bowo punya wawas tapi capres ganjar pranowo punya prestasi nyata yang bisa lihat pilih pimpin dasar hasil kerja jnx jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik
93,pikir kait program makan siang gratis dan subsidi susu bagai upaya politik prabowo nilai potensi rugi uang negara dan korban sektor didik serta bantu sosial,Politik
94,anies janji buat regulasi hapus diskriminasi usia dalam syarat lowong kerja temponasional,Politik
95,dukung rakyat terus alir untuk prabowo gibran siapa yang bisa lawan kosongduasatuputaran rakyatsenang menang,Politik
96,anies kreatif bawa isu penting ke panggung pilpres,Politik
97,saat prabowo subianto tanya tentang naik air saat hujan adi benar bahwa situasi memang demikian dan tekan sulit dapat air bersih bagai masalah utama indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas,Sumber Daya Alam
98,legislasi yang inisiasi oleh ganjar pranowo mahfud md tuju untuk cipta adil gender yang lebih baik di tempat kerja dan tingkat sejahtera ekonomi perempuan ganjarmahfudrebound jnk,Ekonomi
99,capres cawapres ganjar pranowo dan mahfud md pesan agar kita semua terus jaga konstitusi atau atur dasar negara bagai landas bangsa ganjarpranowopilihanumat,Ideologi
100,para dukung lihat kerumun anies rupa dukung ingin beri hadiah rupa cenderamata kepada mantan gubernur dki jakarta itu,Politik
101,jadi pilih yang rasional kita banding rekam jejak rekam karya pesan abah di acara desak anies yogyakarta aminajadulu,Politik
102,pada kita semua saksi ubah pimpin yang penuh harap dengan ganjar pranowo emban tugas yang belum jalan oleh jokowi ganjarmahfudrebound ganjarpranowopranowopilihanumat jnk,Politik
103,sama jnk kita punya kuat untuk bawa ubah positif dengan dukung ganjar pranowo mahfud md di pilpres datang jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik
104,anak muda indonesia the future of this nation is in your hand it the time for change anies for president sampai yg harus sampai kepada teman lain karena sudah saat adu ide gagas tunjuk karya karya pak anies untuk ubah indonesia lebih baik lagi,Ideologi
105,video bawah ambil tahun dan bukti rembug ganjar sdh laku sejak lama dan rutin laku bukti ganjar selalu libat masyarakat untuk cari solusi atas soal yang mereka hadap rembuganjar hapus kredit macet dengan libat masyarakat bagai subjek bangun dalam rembuganjar maka bijak yang akan ambil akan sesuai dengan soal yang hadap rakyat kecil tidak seperti makan siang gratis program yg keluar dari para elit bkn dari rakyat kecil solusi putih kredit macet atau hapus utang nelayan atau tani rupa hasil dari rembuganjar karena bagaimana bijak itu akan timbul efek bagi rakyat sehingga dengan rembuganjar rakyat jadi subjek bukan objek dalam bangun dan jalan bijak,Sosial Budaya
106,gue speechless bener merinding dengan fenomena dukung anies yg militan ada yg bikin spanduk dari karung pasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah moga arus ubah dari bawah ini hasil gemilang,Sosial Budaya
107,parah loe mba ada bukti gak ganjar anies ngolok kuat militer indonesia jgn mentang skrg demokrat dukung garis kuasa ya,Politik
108,tdk banyak yang tau ini platform bikin anies awal nama bawa ide pemuda daftar yg pilih utk presentasi gagas sesuai background masing anak muda ajak ikut tampil bukan cuma diam bebek saja,Ideologi
109,cerita pasang pak mahfud md dan pak ganjar pranowo buat kita percaya semangat dwi tunggal masih ada sama mereka kita bisa wujud impi besar jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik
110,vidio bagi ke catat ini buat dukung wowo kalau pak anies tidak pernah minta jadi gurbernur,Ekonomi
111,tolol yang bilang anies baswedan serang personal prabowo itu orang arti tidak paham definisi dari serang personal serang personal itu serang fisik dia anak dia inti yg sangkut personal yang anies serang itu kerja prabowo jadi menhan lama tahun ini dungu,Politik
112,sama sama kita dukung prabowo dalam wujud ubah yang ingin oleh warga jabar jabartetapuntuk02 berbuatbaik untukmasyarakat,Politik
113,yakin milih ganjar pranowo dengan capres no wujud masa depan indonesia yang lebih baik ganjar mahfud hebat l3bihbaik 3gm ganjarmahfud2024 resolusi indonesia,Politik
114,orang tembak rawan prabowo bekuk polda jatim satu di antara kepala desa,Pertahanan dan Keamanan
115,menhan prabowo subianto sanjung pimpin bupati arief rohman saat laku kunjung kerja di blora ini kata radar kudus radar kudus indonesiakuatindonesiamaju diplomasiprogresif02 02melanjutkan,Politik
116,bulan januari ini serang dari kubu dkk akan makin sengit masuk doxxing akun akun sosmed kita harap cepu di grup login tutup bagi informasi kepada kita agar kita bisa counter serang mereka jangan biar kuasa asal bukan prabowo,Pertahanan dan Keamanan
117,gibran klaim food estate singkong prabowo panen greenpeace kali ke lokasi tidak ada,Politik
118,full nyata prabowo usai debat capres saya kecewa dengan narasi paslon lain capres nomor urut prabowo subianto aku kecewa dengan narasi pasang calon presiden nomor urut anies baswedan dan capres nomor urut ganjar pranowo saat debat capres pada minggu saya agak sedikit kecewa dengan kualitas utama narasi yang sampai oleh paslon paslon yang lain turut saya mereka data banyak yang salah keliru dua data tahan ini mau pakai cari poin politik yang turut saya untuk negarawan tidak boleh ujar prabowo simak lengkap video ikut ini dan temu juga bagai informasi baru lain hanya di atau kanal youtube kompastv debatcapres pemilu2024dikompastv,Politik
119,anies janji akan bangun jalan produksi untuk hubung sentra produksi tani dengan pasar di jawa barat,Sumber Daya Alam
120,peran damai rusia ukraina masih ingat kunjung presiden ke kiev dan moskow tiga bulan pasca perang pecah lagak mau damai dua kubu seteru yg ada malah duga manfaat agenda negara demi penting pribadi pasca lobi itu hashim adik prabowo dapat tender kirim gandum dan jagung dari ukraina,Politik
121,bersamajagad3mokrasi demokrasi ala ganjar smg aspirasi rakyat bisa di jalan,Politik
122,temenku yang dukung prabowo bilang wajar kalau prabowo kena kasus ham kan dia dari militer arti dg analogi spt itu wajar dong militer laku langgar ham hadap rakyat sipil,Politik
123,anies sebut tara didik jadi salah satu yang juang,Ideologi
124,wow kampanye akbar capres pasang no anies baswedan di gor parung bogor aminajadulu indonesia people deserve better,Politik
125,pupuk subsidi langka tim prabowo gibran buat posko salur pupuk subsidi untuk tani solar subsidi langka tim prabowo gibran buat posko salur solar subsidi bagi nelayan beras mahal tim prabowo gibran ikan bansos beras terus negara ngapain,Ekonomi
126,calon wakil presiden nomor urut mahfud md nyata bahwa laju deforestasi atau gundul hutan indonesia saat ini rupa yang tinggi di dunia indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam
127,ini buat lawan framing anies jual politik identitas,Politik
128,bulan januari ini serang dari kubu dkk akan makin sengit masuk doxxing akun akun sosmed kita harap cepu di grup login tutup bagi informasi kepada kita agar kita bisa counter serang mereka jangan biar kuasa asal bukan prabowo,Pertahanan dan Keamanan
129,jadi abah anies bagai pimpin di republik ini adalah cita cita kita semua love you abah aminajadulu aniesmuhaimin2024,Politik
130,orang papua harap pak anies jadi presiden,Sosial Budaya
131,ini fakta yang aku alami di lapang aku selalu tanya pada kenal kenal yang aku temuiteman lama teman kampus bahkan beberapa orang laintentang pilih capres mereka dari mereka dukung prabowo saat tanya alas jawab mereka putar gimmick gimmick yang laku oleh tim tanpa paham gagas visi misi capresnya aku tidak akan me judge mereka karena bagi itu sah sah saja hak warga negara buat pilih dengan alas apa seperti indonesia butuh waktu untuk pimpin oleh orang orang yang punya gagas hebat gagas detail dan gagas yang tumbuh iring kembang zaman kita memang butuh waktu yang panjang untuk angkat pimpin yang cerdas dan punya wawas yang luas its okay umur indonesia masih panjang dan negeri ini masih terlalu muda untuk erti apa itu meritokrasi,Politik
132,anies baswedan sudah lama sblm aktif di politik malah sudah laku blusukan ke seluruh pelosok wilayah utk maju dunia didik di negeri cinta ini,Politik
133,sejak kami sudah kerja di papua barat kirim guru guru ke pelosok pelosok papua yang orang lain belum mau datang karena tidak ada sinyal dan listrik kata capres anies baswedan,Politik
134,kapitalisme neoliberal tak cocok untuk indonesia kata prabowo antara kalimantan tengah menangseputaran,Ideologi
135,saya yakin pak ganjar sudah punya informasi soal mamat gunshop kenapa tidak buka di publik karena mamat gunshop terlalu riskan untuk jadi tahu masyarakat global kena sistem tahan kita saya rasa sih seperti itu pak ganjar malam ini andal,Pertahanan dan Keamanan
136,dan diri pun beri dukung kepada prabowo subianto agar ia jadi pimpin yang prioritas penting rakyat kecil indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Politik
137,kikidaliyo ganjar pranowo sikap tegas yang laku situ ganjarmerawatpancasila bagai bentuk cinta bangsa indonesia mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 lulus pasti kerja,Ideologi
138,capres nomor urut ganjar pranowo tanggap politikus pdip rieke diah pitaloka yang ganjar mahfud hebat coblos3 3gm ganjarmahfudm3nangdebat debatcapres,Politik
139,hadir konser indonesia maju di tulungagung tom gandhi prabowo gibran optimis menang satu putar indonesiakuatindonesiamaju diplomasiprogresif02 02melanjutkan,Politik
140,anies saking program oke semua orang orang jadi fear mongering dan black campaign ke beliau dengan isu masa lalu yg mana beliau sendiri gak libat dalam dan validitas cerita pun belum bisa bukti krn karang anon stop that you guys are nasty,Politik
141,tak banyak yang sadar anies agak gerak dalam attack on titan saat tutup debat pilpres tiga telah itu momen anies meraga gerak dalam anime attack on titan ia kepal tangan kanan dan silang ke dada sedang tangan kiri ambil gerak ke belakang seperti gerak istirahat di tempat biasa gerak itu laku para pasuk pembebesan dalam anime attack on titan saat hendak perang lawan musuh dalam bahasa jepang gerak itu selalu serta teriak shinzou wo sasageyo yang arti abdi hati cara harfiah dalam konteks attack on titan itu arti seluruh pasuk siap mati demi bebas,Sosial Budaya
142,sekali lagi prabowo ngomong hilir di debat helai rabut ganjar jadi hitam,Politik
143,bulan januari ini serang dari kubu dkk akan makin sengit masuk doxxing akun akun sosmed kita harap cepu di grup login tutup bagi informasi kepada kita agar kita bisa counter serang mereka jangan biar kuasa asal bukan prabowo,Pertahanan dan Keamanan
144,fakta baru tidak ada komunikasi atau ingat apa usut tuntas rakyat ingin tahu netralitas tni apakah benar ada kawal ganjar mahfud tuju menang ganjarmahfud2024 hari tuju menang ganjarmahfudm3nang l3bihbaik,Politik
145,pupuk subsidi langka tim prabowo gibran buat posko salur pupuk subsidi untuk tani solar subsidi langka tim prabowo gibran buat posko salur solar subsidi bagi nelayan beras mahal tim prabowo gibran ikan bansos beras terus negara ngapain,Ekonomi
146,abah anies ingin angkat martabat tani agar tidak terus terus terima bansos karena hasil cukup aminajadulu,Sosial Budaya
