,index,text,label
11,4003,capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Ideologi
12,1295,habis baca artikel cak imin soal tobat ekologis nemu juga tulisan anies juli lalu memuliakan perempuan dan generasi masa depan aku lebih suka tulisan gini alih visimisi krn nyertain konteks besar masalah dan lebih elaboratif soal rencana link,Sosial Budaya
13,3953,habis baca artikel cak imin soal tobat ekologis nemu juga tulisan anies juli lalu memuliakan perempuan dan generasi masa depan aku lebih suka tulisan gini alih visimisi krn nyertain konteks besar masalah dan lebih elaboratif soal rencana link,Sosial Budaya
14,1382,tebet eco park hasil pak anies juga gak sih main kesana tuh enak bgt adem bgt rasanya beberapa temen gua ada yg gak percaya ini tuh masih jaksel,Sosial Budaya
15,1613,tebet eco park hasil pak anies juga gak sih main kesana tuh enak bgt adem bgt rasanya beberapa temen gua ada yg gak percaya ini tuh masih jaksel,Sosial Budaya
16,2629,bersama prabowogibran kita akan membangun indonesia emas yang menjadi kebanggaan kita semua #yuksemuapilih02 pakbowomasgib yangterbaik,Politik
17,3131,bersama prabowogibran kita akan membangun indonesia emas yang menjadi kebanggaan kita semua #yuksemuapilih02 pakbowomasgib yangterbaik,Politik
18,2003,kemenangan ada di tangan kebersamaan #jnk yakin ganjar pranowo dan mahfud md akan membawa perubahan positif di pilpres #ganjarmahfudrebound #ganjarpranowopilihanumat #temanalamganjar,Politik
19,4727,kemenangan ada di tangan kebersamaan #jnk yakin ganjar pranowo dan mahfud md akan membawa perubahan positif di pilpres #ganjarmahfudrebound #ganjarpranowopilihanumat #temanalamganjar,Politik
20,1935,ganjar pranowo mendengarkan suara kalian petani kuota pupuk bakal lebih banyak untuk pertanian yang lebih maju #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk,Ekonomi
21,2492,ganjar pranowo mendengarkan suara kalian petani kuota pupuk bakal lebih banyak untuk pertanian yang lebih maju #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk,Ekonomi
22,4714,ganjar pranowo mendengarkan suara kalian petani kuota pupuk bakal lebih banyak untuk pertanian yang lebih maju #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk,Ekonomi
23,1205,abah anies janji bakal revisi uu kpk untuk kembalikan kepercayaan publik calon presiden capres nomor urut anies baswedan berjanji akan melakukan pembenahan terhadap komisi pemberantasan korupsi kpk apabila memenangi pemilihan presiden pilpres langkah pertama anies untuk membenahi lembaga antirasuah yaitu dengan merevisi undangundang uu nomor tahun tentang perubahan atas uu nomor tahun tentang komisi pemberantasan tindak pidana korupsi menurut anies langkah merevisi uu tersebut bertujuan untuk mengembalikan kepercayaan publik sekaligus mengembalikan kpk seperti dulu sebagai lembaga yang memiliki kemampuan memberantas korupsi kita mengembalikan agar kpk berwibawa lagi secara legal seperti dulu dan ini artinya merevisi undangundang kpk kami ingin agar revisi ini bisa mengembalikan kpk pada posisi yang kuat ujar anies dalam pemaparannya di acara paku integritas calon presiden dan calon wakil presiden di gedung kpk jakarta rabu malam selain memperbaiki uu anies juga berkomitmen agar menciptakan standar etika yang tinggi di tubuh kpk anies menginginkan supaya semua unsur kpk kembali seperti dulu ketika di mana para pegawainya tidak mau ikut makan atau tak ingin mengikuti kegiatan yang tidak didanai oleh kpk standar yang tinggi itu harus dikembalikan di kpk sehingga bukan saja undangundangnya memberikan kekuatan dan kemandirian tetapi juga di dalamnya baik pimpinan maupun staf bekerja dengan kode etik yang amat tinggi ujar anies anies juga ingin memperbaiki rekrutmen baik di tingkat pimpinan maupun di tingkat pegawai seperti yang tadi disampaikan yang diusulkan presiden tingkat pimpinan maupun rekrutmen staf yang bukan hanya mencari pekerjaan tetapi menjadi tempat untuk memberantas korupsi imbuh dia sumber #aminmiskinkankoruptor,Pertahanan dan Keamanan
24,2377,abah anies janji bakal revisi uu kpk untuk kembalikan kepercayaan publik calon presiden capres nomor urut anies baswedan berjanji akan melakukan pembenahan terhadap komisi pemberantasan korupsi kpk apabila memenangi pemilihan presiden pilpres langkah pertama anies untuk membenahi lembaga antirasuah yaitu dengan merevisi undangundang uu nomor tahun tentang perubahan atas uu nomor tahun tentang komisi pemberantasan tindak pidana korupsi menurut anies langkah merevisi uu tersebut bertujuan untuk mengembalikan kepercayaan publik sekaligus mengembalikan kpk seperti dulu sebagai lembaga yang memiliki kemampuan memberantas korupsi kita mengembalikan agar kpk berwibawa lagi secara legal seperti dulu dan ini artinya merevisi undangundang kpk kami ingin agar revisi ini bisa mengembalikan kpk pada posisi yang kuat ujar anies dalam pemaparannya di acara paku integritas calon presiden dan calon wakil presiden di gedung kpk jakarta rabu malam selain memperbaiki uu anies juga berkomitmen agar menciptakan standar etika yang tinggi di tubuh kpk anies menginginkan supaya semua unsur kpk kembali seperti dulu ketika di mana para pegawainya tidak mau ikut makan atau tak ingin mengikuti kegiatan yang tidak didanai oleh kpk standar yang tinggi itu harus dikembalikan di kpk sehingga bukan saja undangundangnya memberikan kekuatan dan kemandirian tetapi juga di dalamnya baik pimpinan maupun staf bekerja dengan kode etik yang amat tinggi ujar anies anies juga ingin memperbaiki rekrutmen baik di tingkat pimpinan maupun di tingkat pegawai seperti yang tadi disampaikan yang diusulkan presiden tingkat pimpinan maupun rekrutmen staf yang bukan hanya mencari pekerjaan tetapi menjadi tempat untuk memberantas korupsi imbuh dia sumber #aminmiskinkankoruptor,Pertahanan dan Keamanan
25,2410,calon presiden ri no urut ganjar pranowo mengajak kita semua untuk ikut serta menjaga integritas konstitusi atau aturan dasar negara#ganjarpranowopilihanumat,Ideologi
26,3747,calon presiden ri no urut ganjar pranowo mengajak kita semua untuk ikut serta menjaga integritas konstitusi atau aturan dasar negara#ganjarpranowopilihanumat,Ideologi
27,3878,calon presiden ri no urut ganjar pranowo mengajak kita semua untuk ikut serta menjaga integritas konstitusi atau aturan dasar negara#ganjarpranowopilihanumat,Ideologi
28,4071,calon presiden ri no urut ganjar pranowo mengajak kita semua untuk ikut serta menjaga integritas konstitusi atau aturan dasar negara#ganjarpranowopilihanumat,Ideologi
29,4584,calon presiden ri no urut ganjar pranowo mengajak kita semua untuk ikut serta menjaga integritas konstitusi atau aturan dasar negara#ganjarpranowopilihanumat,Ideologi
30,106,gue speechless bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya
31,547,gue speechless bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya
32,594,gue speechless bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya
33,1103,gue speechless bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya
34,2041,gue speechless bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya
35,3502,gue speechless bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya
36,4404,gue speechless bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya
37,4430,gue speechless bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya
38,4505,gue speechless bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya
39,957,ganjar pranowo jauh dari kebiasaan capres lain yang hanya berfokus pada hiburan semata ganjar pranowo mempunyai program kerja nyata #ganjarmahfudrebound #jnk #ganjarpranowopilihanumat,Politik
40,1985,ganjar pranowo jauh dari kebiasaan capres lain yang hanya berfokus pada hiburan semata ganjar pranowo mempunyai program kerja nyata #ganjarmahfudrebound #jnk #ganjarpranowopilihanumat,Politik
41,2136,paslon ganjar pranowo calon pemimpin yang peduli sama petani kuota pupuk ditambah buat pertanian yang lebih bagus #ganjarpranowopilihanumat #ganjarmahfudrebound #jnk,Sumber Daya Alam
42,3108,paslon ganjar pranowo calon pemimpin yang peduli sama petani kuota pupuk ditambah buat pertanian yang lebih bagus #ganjarpranowopilihanumat #ganjarmahfudrebound #jnk,Sumber Daya Alam
43,2348,sukses tidak hanya milik satu orang tapi kita semua bersama jnk kita sukses bersama dengan capres ganjar pranowo mahfud md jna #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Politik
44,3888,sukses tidak hanya milik satu orang tapi kita semua bersama jnk kita sukses bersama dengan capres ganjar pranowo mahfud md jna #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Politik
45,733,biginilah cara masyarakat sorong papua menyambut pak anies salam hormat untuk pace dan mace semuanya yang berada di ujung timur indonesia,Sosial Budaya
46,2868,biginilah cara masyarakat sorong papua menyambut pak anies salam hormat untuk pace dan mace semuanya yang berada di ujung timur indonesia,Sosial Budaya
47,361,gibran berterima kasih ke prabowo beliau patriot buka jalan bagi saya #indonesiakuatindonesiamaju #diplomasiprogresif02 #02melanjutkan,Politik
48,2702,gibran berterima kasih ke prabowo beliau patriot buka jalan bagi saya #indonesiakuatindonesiamaju #diplomasiprogresif02 #02melanjutkan,Politik
49,1918,pak anies baswedan meresmikan posko pejuang amin di yogyakarta kemarin menurut pak anies penamaan posko pejuang ini sesuai dengan sejarah yang terjadi di kota baru ini peristiwa yang terjadi dalam perjuangan kemerdekaan dimana anakanak muda jogja turun berjuang melawan jepang yang terkenal dengan nama pertempuran kota baru #aminajadulu #aniesmuhaimin2024,Sosial Budaya
50,4294,pak anies baswedan meresmikan posko pejuang amin di yogyakarta kemarin menurut pak anies penamaan posko pejuang ini sesuai dengan sejarah yang terjadi di kota baru ini peristiwa yang terjadi dalam perjuangan kemerdekaan dimana anakanak muda jogja turun berjuang melawan jepang yang terkenal dengan nama pertempuran kota baru #aminajadulu #aniesmuhaimin2024,Sosial Budaya
51,3365,rekam jejak anies di dki pengadaan air bersih utk pulau diluar jakarta pulau sdh terpenuhi kebutuhan airnya dg sistem swro dan harga yg sgt murah rpm jadi bisa kita bayangkan kl sistem ini direalisasikan utk skala nasional betapa sangat terbantunya rakyat,Sumber Daya Alam
52,4525,rekam jejak anies di dki pengadaan air bersih utk pulau diluar jakarta pulau sdh terpenuhi kebutuhan airnya dg sistem swro dan harga yg sgt murah rpm jadi bisa kita bayangkan kl sistem ini direalisasikan utk skala nasional betapa sangat terbantunya rakyat,Sumber Daya Alam
53,4702,rekam jejak anies di dki pengadaan air bersih utk pulau diluar jakarta pulau sdh terpenuhi kebutuhan airnya dg sistem swro dan harga yg sgt murah rpm jadi bisa kita bayangkan kl sistem ini direalisasikan utk skala nasional betapa sangat terbantunya rakyat,Sumber Daya Alam
54,541,pak knp dgn kh marzuki mustamar anda berani pecat pdhl beliau gak bawa pwnu jatim dukung amin ini jelas bawa pwnu riau dukung prabowo anda tutup mata apa ini yg namanya tegas dan adil pak yahya yth,Politik
55,1027,pak knp dgn kh marzuki mustamar anda berani pecat pdhl beliau gak bawa pwnu jatim dukung amin ini jelas bawa pwnu riau dukung prabowo anda tutup mata apa ini yg namanya tegas dan adil pak yahya yth,Politik
56,3623,pak knp dgn kh marzuki mustamar anda berani pecat pdhl beliau gak bawa pwnu jatim dukung amin ini jelas bawa pwnu riau dukung prabowo anda tutup mata apa ini yg namanya tegas dan adil pak yahya yth,Politik
57,1028,adi menginformasikan bahwa isu utama di kampung mereka adalah sulitnya mendapatkan air bersih dan masalah naiknya air laut #indonesiasentris #indonesiahijau #02melanjutkan #anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam
58,1311,adi menginformasikan bahwa isu utama di kampung mereka adalah sulitnya mendapatkan air bersih dan masalah naiknya air laut #indonesiasentris #indonesiahijau #02melanjutkan #anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam
59,2644,adi menginformasikan bahwa isu utama di kampung mereka adalah sulitnya mendapatkan air bersih dan masalah naiknya air laut #indonesiasentris #indonesiahijau #02melanjutkan #anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam
60,3140,adi menginformasikan bahwa isu utama di kampung mereka adalah sulitnya mendapatkan air bersih dan masalah naiknya air laut #indonesiasentris #indonesiahijau #02melanjutkan #anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam
61,3815,adi menginformasikan bahwa isu utama di kampung mereka adalah sulitnya mendapatkan air bersih dan masalah naiknya air laut #indonesiasentris #indonesiahijau #02melanjutkan #anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam
62,3998,adi menginformasikan bahwa isu utama di kampung mereka adalah sulitnya mendapatkan air bersih dan masalah naiknya air laut #indonesiasentris #indonesiahijau #02melanjutkan #anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam
63,480,ganjar pranowo membuat solusi cerdas untuk pertanian indonesia kuota pupuk diperluas agar hasil panen lebih berkualitas #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk,Ekonomi
64,545,ganjar pranowo membuat solusi cerdas untuk pertanian indonesia kuota pupuk diperluas agar hasil panen lebih berkualitas #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk,Ekonomi
65,3313,ganjar pranowo membuat solusi cerdas untuk pertanian indonesia kuota pupuk diperluas agar hasil panen lebih berkualitas #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk,Ekonomi
66,1086,capres ganjar pranowo selalu siap membela konstitusi atau aturan dasar negara dengan segala cara#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Ideologi
67,3680,capres ganjar pranowo selalu siap membela konstitusi atau aturan dasar negara dengan segala cara#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Ideologi
68,2037,sejalan dengan kebenaran pak ganjar pranowo pastikan bansos tetap ada sekarang ada ktp sakti buat bantuan lebih mudah didapat #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Politik
69,4087,sejalan dengan kebenaran pak ganjar pranowo pastikan bansos tetap ada sekarang ada ktp sakti buat bantuan lebih mudah didapat #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Politik
70,840,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
71,1747,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
72,2190,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
73,2359,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
74,2474,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
75,2896,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
76,2976,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
77,3009,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
78,4803,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
79,4935,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Politik
80,86,momen capres nomor urut ganjar pranowo besuk relawannya korban penganiayaan oleh oknum tni di boyolali tak hanya bertanya kondisi juga bertanya kronologi kejadian hingga relawan pendukungnya itu dipukuli ia pun meminta aparat keamanan termasuk institusi tni menangani kejadian ini #ganjarmahfud2024 #l3bihbaik,Pertahanan dan Keamanan
81,4280,momen capres nomor urut ganjar pranowo besuk relawannya korban penganiayaan oleh oknum tni di boyolali tak hanya bertanya kondisi juga bertanya kronologi kejadian hingga relawan pendukungnya itu dipukuli ia pun meminta aparat keamanan termasuk institusi tni menangani kejadian ini #ganjarmahfud2024 #l3bihbaik,Pertahanan dan Keamanan
82,4586,momen capres nomor urut ganjar pranowo besuk relawannya korban penganiayaan oleh oknum tni di boyolali tak hanya bertanya kondisi juga bertanya kronologi kejadian hingga relawan pendukungnya itu dipukuli ia pun meminta aparat keamanan termasuk institusi tni menangani kejadian ini #ganjarmahfud2024 #l3bihbaik,Pertahanan dan Keamanan
83,2479,kita tahun belakangan ini terbiasa punya presiden yang tidak bisa menjelaskan sesuatu secara runut adanya pak anies ini seperti angin segar buat perubahan sehat terus pak,Politik
84,3185,kita tahun belakangan ini terbiasa punya presiden yang tidak bisa menjelaskan sesuatu secara runut adanya pak anies ini seperti angin segar buat perubahan sehat terus pak,Politik
85,237,paslon ganjar pranowo solusi pintar buat pertanian indo kuota pupuk diperluas supaya hasil panennya makin top #ganjarpranowopilihanumat #ganjarmahfudrebound #jnk,Ekonomi
86,2820,paslon ganjar pranowo solusi pintar buat pertanian indo kuota pupuk diperluas supaya hasil panennya makin top #ganjarpranowopilihanumat #ganjarmahfudrebound #jnk,Ekonomi
87,2309,politik ganjar pranowo bukan sekadar berbicara tapi memberi dampak nyata#politikbermakna #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Politik
88,3719,politik ganjar pranowo bukan sekadar berbicara tapi memberi dampak nyata#politikbermakna #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Politik
89,3858,malam ini menjenguk pendukung ganjar mahfud yang jadi korban penganiayaan aparat di boyolali dua dari tujuh korban masih dirawat di rsud pandan arang mas arif diva belum bisa diajak bicara kondisi mas slamet andono lebih baik dan bisa ceritacerita sambil saya ajak gojek dikit mohon doa nggih semoga saudaraku yang masih dirawat lekas sembuh semuanya #ganjarmahfud2024,Sosial Budaya
90,4642,malam ini menjenguk pendukung ganjar mahfud yang jadi korban penganiayaan aparat di boyolali dua dari tujuh korban masih dirawat di rsud pandan arang mas arif diva belum bisa diajak bicara kondisi mas slamet andono lebih baik dan bisa ceritacerita sambil saya ajak gojek dikit mohon doa nggih semoga saudaraku yang masih dirawat lekas sembuh semuanya #ganjarmahfud2024,Sosial Budaya
91,1691,desak anies ambon di pinggir pantai baby indah beach terasa spesial banyak aspirasi yang muncul tentang bagaimana menghidupkan wilayah timur indonesia dengan berbagai potensinya,Sumber Daya Alam
92,3309,desak anies ambon di pinggir pantai baby indah beach terasa spesial banyak aspirasi yang muncul tentang bagaimana menghidupkan wilayah timur indonesia dengan berbagai potensinya,Sumber Daya Alam
93,1389,calon presiden ri no urut ganjar pranowo menekankan bahwa konstitusi atau aturan dasar negara adalah panduan hidup kita#ganjarpranowopilihanumat,Ideologi
94,2291,calon presiden ri no urut ganjar pranowo menekankan bahwa konstitusi atau aturan dasar negara adalah panduan hidup kita#ganjarpranowopilihanumat,Ideologi
95,3352,calon presiden ri no urut ganjar pranowo menekankan bahwa konstitusi atau aturan dasar negara adalah panduan hidup kita#ganjarpranowopilihanumat,Ideologi
96,3485,calon presiden ri no urut ganjar pranowo menekankan bahwa konstitusi atau aturan dasar negara adalah panduan hidup kita#ganjarpranowopilihanumat,Ideologi
97,4513,calon presiden ri no urut ganjar pranowo menekankan bahwa konstitusi atau aturan dasar negara adalah panduan hidup kita#ganjarpranowopilihanumat,Ideologi
98,1162,dengar cerita mahfud md dan ganjar rasanya kayak indonesia punya pahlawan masa kini bersama kita bisa jadi bagian dari perubahan positif #misibangga#ganjarpranowopilihanumat #ganjarmahfudrebound #jnk,Politik
99,3739,dengar cerita mahfud md dan ganjar rasanya kayak indonesia punya pahlawan masa kini bersama kita bisa jadi bagian dari perubahan positif #misibangga#ganjarpranowopilihanumat #ganjarmahfudrebound #jnk,Politik
100,1348,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Ideologi
101,4479,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Ideologi
102,4535,cukup liat track recordnya ganjar pranowo dan mahfud md udah yakin banget deh #ganjar pranowo dan mahfud mdmahfudrebound #ganjar pranowo dan mahfud mdpranowopilihanumat #jnk,Ideologi
103,2604,food estate mulai dicanangkan pada tahun lalu tepatnya pada juli dibantu oleh menteri pupr dan menteri pertanian secara garis besar food estate adalah program ekstensifikasi pertanian membuka lahan yg besar dan mengubahnya menjadi lahan pertanian bulan setelah dicanangkan food estate mulai dikerjakan di kalimantan tengah yaitu daerah gunung emas sedangkan pt yang terlibat dalam program ini berdasarkan penelusuran tempo adalah pt yang baru dibentuk bulan sebelumnya yaitu pt agrinas dimana susunan direksinya terdapat setidaknya dari gerindra dan banyak juga staff agrinas merangkap sebagai pegawai kementerian pertahanan di food estate food estate berencana untuk membuka ribu hektar hutan hujan tropis tepat bulan setelah dicanangkan beberapa anggota tni terlibat dalam pembabatan hutan dimana hutan yang sudah dibuka saat itu sekitar hektar dan karena itu adalah hutan tentunya banyak kayu yg dihasilkan kemanakah kayu tersebut tiada yang tahu dan tiada yg mengerti awalnya food estate menanam singkong pada bekas hutan tersebut namun karena tanahnya berpasir singkong tak kunjung tumbuh dalam kurun waktu tahun sehingga untuk menutupi kegagalan tersebut didatangkanlah jagung dalam polibag untuk hektare lahan tersebut dan itupun hasilnya juga tidak memuaskan dari sisi anggaran food estate masuk dalam kategori psn dimana anggaran yg dihabiskan sekitar triliun di ada anggaran sekitar triliun dan nanti di dianggarkan triliun jokowi sendiri mengatakan anggaran yang dibutuhkan sekitar triliun mengingat menurut laporan ppatk masuk ke kantong asn dan politisi maka triliun bisa masuk ke kantong mereka apalagi kalo pelaksananya orang dalam pasti akan lebih luar biasa dan apa hasilnya setelah tahun berjalan bisa dibilang besar karena panen jagungnya juga tidak signifikan sampai disini kalo kita merasionalkan menjadi skor penilaian kinerja prabowo di food estate maka dapat kita hitung dari lahan yang sudah dibabat yaitu sekitar hektar dibandingkan dengan jagung polybag yg dipanen oleh jokowi sekitar hektareatau didapat jadi walaupun sudah dikatrol oleh jagung polybag sepertinya pak anies baswedan masih berbaik hati memberikan score dari tanam singkong tumbuh jagung triliun hilang siapa yg nanggung sudah diberi proyek untuk dijadikan panggung hasilnya gak nendang karena kapasitas nanggung eh malah maksa ikut pemilu padahal gampang tersinggung gimana #pesanuntukabah #aminajadulu,Ekonomi
